structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Medulla,2.0,0.0,2.0,1.4128159999999998,1.486182,2.898998,1.415612507219624,0.0
"Entorhinal area, medial part, dorsal zone, layer 3",2.0,0.0,2.0,0.558875,0.602353,1.161228,3.5786177588906285,0.0
Midbrain reticular nucleus,1.0,1.0,2.0,2.956088,3.023786,5.979874,0.33828492250569,0.33071123419448334
"Posterior auditory area, layer 5",2.0,0.0,2.0,0.09877,0.1054399999999999,0.20421,20.249063480814012,0.0
"Posterior auditory area, layer 6a",2.0,0.0,2.0,0.0394469999999999,0.0409669999999999,0.0804139999999999,50.70094050244645,0.0
Anterior pretectal nucleus,0.0,1.0,1.0,0.713842,0.696006,1.409848,0.0,1.4367692232538225
"Pontine reticular nucleus, caudal part",1.0,0.0,1.0,1.288117,1.316754,2.604871,0.7763269951409694,0.0
"Lateral visual area, layer 6b",1.0,0.0,1.0,0.0207849999999999,0.0221589999999999,0.0429439999999999,48.111618955978095,0.0
Paracentral nucleus,1.0,0.0,1.0,0.144888,0.144983,0.289871,6.901882833637017,0.0
"Posterolateral visual area, layer 1",1.0,0.0,1.0,0.102377,0.094817,0.1971939999999999,9.76781894370806,0.0
"Anterolateral visual area, layer 6b",1.0,0.0,1.0,0.0118009999999999,0.011979,0.02378,84.7385814761468,0.0
"Inferior colliculus, central nucleus",1.0,0.0,1.0,0.638586,0.613093,1.251679,1.56595979241637,0.0
"Ventral auditory area, layer 5",1.0,0.0,1.0,0.33835,0.268592,0.606942,2.955519432540269,0.0
"Anterolateral visual area, layer 6a",1.0,0.0,1.0,0.061602,0.061736,0.123338,16.233239180546086,0.0
Piriform area,0.0,1.0,1.0,5.959701,5.27074,11.230441,0.0,0.18972667974515914
"Anteromedial visual area, layer 4",1.0,0.0,1.0,0.0241599999999999,0.0251979999999999,0.049358,41.390728476821366,0.0
"Primary somatosensory area, mouth, layer 1",0.0,1.0,1.0,0.3504049999999999,0.3836529999999999,0.7340579999999999,0.0,2.606522039447105
"Agranular insular area, posterior part, layer 5",0.0,1.0,1.0,0.370314,0.3472869999999999,0.7176009999999999,0.0,2.8794628074186486
Parabrachial nucleus,0.0,1.0,1.0,0.49956,0.507813,1.007373,0.0,1.9692288302977672
Anteroventral nucleus of thalamus,0.0,1.0,1.0,0.227882,0.235179,0.463061,0.0,4.2520803303016
Lobule II,1.0,0.0,1.0,0.895384,0.910066,1.80545,1.1168392555596258,0.0
Principal sensory nucleus of the trigeminal,1.0,0.0,1.0,0.603826,0.590633,1.194459,1.656106229277971,0.0
Xiphoid thalamic nucleus,1.0,0.0,1.0,0.0458229999999999,0.0583529999999999,0.1041759999999999,21.82310193570919,0.0
"Anteromedial visual area, layer 6a",1.0,0.0,1.0,0.070404,0.073822,0.144226,14.203738423953185,0.0
Pons,1.0,0.0,1.0,1.934623,1.9663,3.900923,0.5168965736476823,0.0
"Primary somatosensory area, trunk, layer 5",1.0,0.0,1.0,0.174344,0.1870909999999999,0.3614349999999999,5.735786720506585,0.0
Midbrain,1.0,0.0,1.0,3.775374,3.844617,7.619991,0.2648744203885496,0.0
"Primary somatosensory area, barrel field, layer 6a",1.0,0.0,1.0,0.78967,0.825521,1.6151909999999998,1.266351767193891,0.0
"Rostrolateral area, layer 4",1.0,0.0,1.0,0.0823489999999999,0.108111,0.19046,12.14343829311833,0.0
dorsal limb,1.0,0.0,1.0,0.081147,0.067964,0.149111,12.323314478662182,0.0
"Posterior auditory area, layer 4",1.0,0.0,1.0,0.0376419999999999,0.0416399999999999,0.0792819999999999,26.566069815631547,0.0
Ectorhinal area/Layer 5,1.0,0.0,1.0,0.2749499999999999,0.229094,0.5040439999999999,3.6370249136206594,0.0
Substantia innominata,1.0,0.0,1.0,1.79174,1.817075,3.608815,0.5581166910377622,0.0
"Dorsal auditory area, layer 6a",1.0,0.0,1.0,0.1022879999999999,0.0954339999999999,0.1977219999999999,9.776317847645872,0.0
cingulum bundle,1.0,0.0,1.0,0.7069489999999999,0.7225509999999999,1.4295,1.414529195175324,0.0
internal capsule,1.0,0.0,1.0,1.354931,1.277548,2.632479,0.7380449631752465,0.0
Lobule III,1.0,0.0,1.0,1.644432,1.678977,3.323409,0.6081127100421301,0.0
"Supplemental somatosensory area, layer 6a",1.0,0.0,1.0,1.14813,1.032156,2.180286,0.8709815090625626,0.0
"Rostrolateral area, layer 6a",1.0,0.0,1.0,0.0844019999999999,0.095889,0.1802909999999999,11.848060472500666,0.0
"Orbital area, ventrolateral part, layer 1",1.0,0.0,1.0,0.196953,0.189243,0.386196,5.0773534802719436,0.0
"Anterior cingulate area, dorsal part, layer 2/3",1.0,0.0,1.0,0.289267,0.2945319999999999,0.583799,3.4570137623717883,0.0
"Anteromedial nucleus, ventral part",1.0,0.0,1.0,0.103521,0.102569,0.20609,9.659875773997546,0.0
Fastigial nucleus,0.0,1.0,1.0,0.2876829999999999,0.2904509999999999,0.5781339999999999,0.0,3.4429215254896706
"Tuberomammillary nucleus, ventral part",0.0,0.0,0.0,0.059481,0.0546629999999999,0.114144,0.0,0.0
"Primary somatosensory area, mouth, layer 6b",0.0,0.0,0.0,0.053957,0.0571239999999999,0.1110809999999999,0.0,0.0
"Primary somatosensory area, trunk, layer 6a",0.0,0.0,0.0,0.136508,0.140131,0.2766389999999999,0.0,0.0
"Superior colliculus, motor related, intermediate gray layer",0.0,0.0,0.0,1.177381,1.192473,2.369854,0.0,0.0
Interfascicular nucleus raphe,0.0,0.0,0.0,0.055845,0.06157,0.1174149999999999,0.0,0.0
Parataenial nucleus,0.0,0.0,0.0,0.121095,0.1128459999999999,0.2339409999999999,0.0,0.0
"Superior colliculus, motor related, intermediate white layer",0.0,0.0,0.0,1.12453,1.141727,2.266257,0.0,0.0
Induseum griseum,0.0,0.0,0.0,0.068895,0.0739259999999999,0.1428209999999999,0.0,0.0
"Entorhinal area, lateral part, layer 2",0.0,0.0,0.0,0.866251,0.8169989999999999,1.68325,0.0,0.0
Anterior amygdalar area,0.0,0.0,0.0,0.2784399999999999,0.26238,0.54082,0.0,0.0
"Superior colliculus, motor related, deep gray layer",0.0,0.0,0.0,0.665497,0.68458,1.350077,0.0,0.0
Intergeniculate leaflet of the lateral geniculate complex,0.0,0.0,0.0,0.043795,0.040018,0.083813,0.0,0.0
"Entorhinal area, lateral part, layer 6a",0.0,0.0,0.0,0.641367,0.640909,1.282276,0.0,0.0
"Periventricular hypothalamic nucleus, anterior part",0.0,0.0,0.0,0.026619,0.0268869999999999,0.053506,0.0,0.0
Oculomotor nucleus,0.0,0.0,0.0,0.01881,0.0183459999999999,0.0371559999999999,0.0,0.0
"Gustatory areas, layer 1",0.0,0.0,0.0,0.0847619999999999,0.09063,0.175392,0.0,0.0
Paraventricular hypothalamic nucleus,0.0,0.0,0.0,0.086312,0.085795,0.172107,0.0,0.0
"Superior colliculus, motor related, deep white layer",0.0,0.0,0.0,0.1847909999999999,0.191734,0.376525,0.0,0.0
Precommissural nucleus,0.0,0.0,0.0,0.093722,0.093333,0.187055,0.0,0.0
